2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,961  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.28100693818917, trading_size:4
2021-08-04 08:45:17,965  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,966  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:29:00
2021-08-04 08:45:17,967  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.59152825523546, trading_size:4
2021-08-04 08:45:17,967  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,968  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:31:00
2021-08-04 08:45:17,969  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.626097589945237, trading_size:3
2021-08-04 08:45:17,970  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:33:00
2021-08-04 08:45:17,970  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.322586990465693, trading_size:4
2021-08-04 08:45:17,971  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,972  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:35:00
2021-08-04 08:45:17,972  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.962525400992966, trading_size:4
2021-08-04 08:45:17,973  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,974  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:37:00
2021-08-04 08:45:17,975  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.298824043276708, trading_size:4
2021-08-04 08:45:17,975  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,976  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:39:00
2021-08-04 08:45:17,977  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.606796975039485, trading_size:4
2021-08-04 08:45:17,978  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,978  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:41:00
2021-08-04 08:45:17,979  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.63947436293382, trading_size:4
2021-08-04 08:45:17,980  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,980  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:43:00
2021-08-04 08:45:17,981  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.419439378872575, trading_size:4
